"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"TAMIAMI LAKES MONTBLANC ALF, CORP","MIAMI","Miami-Dade","6","2","0","$0.00","7","0","0","7","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Dancing|Games/Cards|Music Programs|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"TAMPA GARDENS SENIOR LIVING","TAMPA","Hillsborough","125","3","1","$0.00","22","0","0","22","0","0","1","Direct 24hr","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"TANIA HOME HEALTH ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","4","0","0","3","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"TAPESTRY SENIOR LIVING OF TALLAHASSEE","TALLAHASSEE","Leon","160","8","0","$0.00","5","0","0","5","0","0","1","Direct 24hr","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","3","Massage Therapy/Spa|Memory Care|Other"
"TBI RESIDENTIAL SERVICES INC","TARPON SPRINGS","Pinellas","24","1","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Massage Therapy/Spa"
"TENDER AT HEART ASSISTED LIVING FACILITY","PALM BAY","Brevard","5","1","1","$5,000.00","4","0","1","2","0","1","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"TENDER AT HEART I ASSISTED LIVING FACILITY INC","PALM BAY","Brevard","6","0","1","$500.00","7","0","0","6","0","1","1","Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Theater and Movies","NR","NR"
"TENDER CARE ALF","FORT LAUDERDALE","Broward","13","1","1","$250.00","5","0","0","5","0","0","1","3rd Party Part-Time","4","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"TENDER CARE INC AT WESTFORD DRIVE","APOPKA","Orange","5","0","1","$5,000.00","19","0","1","15","2","1","1","Direct 24hr","5","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"TENDER CARE, INC","OCOEE","Orange","5","1","2","$1,500.00","25","0","0","24","0","1","1","Direct Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
