"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"BROOKDALE BRADENTON GARDENS","BRADENTON","Manatee","120","5","2","$5,500.00","15","0","1","13","0","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE CANOPY OAKS","OCALA","Marion","120","2","3","$1,050.00","2","0","0","2","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Memory Care|Occupational Therapy|Pet Therapy|Speech Therapy"
"BROOKDALE CAPE CORAL","CAPE CORAL","Lee","50","0","0","$0.00","6","0","0","2","2","2","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"BROOKDALE CENTRE POINTE BOULEVARD","TALLAHASSEE","Leon","38","3","3","$1,000.00","8","0","0","8","0","0","1","Direct Part-Time","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE CHAMBREL PINECASTLE","OCALA","Marion","180","2","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"BROOKDALE CHAMBREL PINECASTLE","OCALA","Marion","26","0","1","$100.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"BROOKDALE COLONIAL PARK","SARASOTA","Sarasota","110","1","3","$1,500.00","9","0","0","7","1","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE CONWAY","ORLANDO","Orange","103","5","4","$8,500.00","21","0","1","19","0","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE CROWN POINT","JACKSONVILLE","Duval","38","0","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","6","Arts and Crafts|Cooking Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"BROOKDALE DEER CREEK","DEERFIELD BEACH","Broward","168","3","3","$500.00","5","0","0","5","0","0","1","Direct Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","1","Memory Care"
"BROOKDALE DEER CREEK SARASOTA","SARASOTA","Sarasota","38","5","2","$2,100.00","14","0","3","10","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"BROOKDALE DELAND","DELAND","Volusia","89","0","1","$0.00","5","0","0","4","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE DESTIN","DESTIN","Walton","130","1","2","$20,500.00","7","2","0","4","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE DR PHILLIPS AL","ORLANDO","Orange","80","1","7","$13,900.00","12","0","1","8","2","1","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE DR PHILLIPS MC","ORLANDO","Orange","40","5","6","$21,500.00","22","0","3","15","4","0","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE FORT MYERS CYPRESS LAKE","FORT MYERS","Lee","190","3","1","$500.00","8","2","1","4","1","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE FORT MYERS THE COLONY","FORT MYERS","Lee","38","0","0","$0.00","3","0","0","2","1","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Other","1","Memory Care"
"BROOKDALE FORT WALTON BEACH","FORT WALTON BEACH","Okaloosa","56","2","0","$0.00","2","0","0","2","0","0","2","Direct 24hr|Direct Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE HIGHLANDS","LAKELAND","Polk","105","9","2","$13,500.00","16","1","0","11","0","4","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE JENSEN BEACH","JENSEN BEACH","Martin","165","3","1","$1,000.00","2","0","0","2","0","0","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE LAKE MARY","LAKE MARY","Seminole","92","5","8","$18,500.00","27","0","4","19","2","2","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE LAKE ORIENTA","ALTAMONTE SPRINGS","Seminole","170","9","25","$53,500.00","58","0","4","45","3","6","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"BROOKDALE LAKE TAVARES","TAVARES","Lake","110","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE MANDARIN","JACKSONVILLE","Duval","170","2","3","$5,800.00","3","0","1","2","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE MANDARIN CENTRAL","JACKSONVILLE","Duval","60","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy|Other"
"BROOKDALE MELBOURNE","MELBOURNE","Brevard","102","3","7","$18,500.00","18","0","3","12","0","3","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE NEW PORT RICHEY","NEW PORT RICHEY","Pasco","242","12","7","$9,350.00","30","0","1","28","0","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE NORTH NAPLES","NAPLES","Collier","150","0","3","$650.00","2","0","0","1","0","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE ORANGE PARK","ORANGE PARK","Clay","102","1","1","$0.00","1","0","0","1","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE ORMOND BEACH","ORMOND BEACH","Volusia","70","1","1","$150.00","1","0","0","0","1","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE ORMOND BEACH WEST","ORMOND BEACH","Volusia","60","1","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"BROOKDALE PADDOCK HILLS","OCALA","Marion","120","3","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Memory Care"
"BROOKDALE PALM BEACH GARDENS","PALM BCH GDNS","Palm Beach","155","3","1","$1,000.00","4","0","0","3","0","1","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE PALM COAST","PALM COAST","Flagler","60","2","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE PALMA SOLA","BRADENTON","Manatee","160","1","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE PALMER RANCH","SARASOTA","Sarasota","118","3","0","$0.00","9","0","0","8","0","1","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","2","Memory Care|Physical Therapy"
"BROOKDALE PANAMA CITY","PANAMA CITY","Bay","50","0","1","$500.00","3","0","0","2","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE PENSACOLA","PENSACOLA","Escambia","60","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE PHILLIPPI CREEK","SARASOTA","Sarasota","127","14","8","$20,500.00","25","0","2","21","1","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE POINTE WEST","BRADENTON","Manatee","40","4","0","$0.00","3","0","0","3","0","0","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE PORT CHARLOTTE","PORT CHARLOTTE","Charlotte","60","2","2","$6,500.00","16","0","1","12","2","1","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","1","Pet Therapy"
"BROOKDALE PORT ORANGE","PORT ORANGE","Volusia","60","0","1","$0.00","3","0","0","3","0","0","2","Direct 24hr|3rd Party Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE PUNTA GORDA ISLES","PUNTA GORDA","Charlotte","60","1","3","$6,500.00","14","0","0","13","1","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Pet Therapy"
"BROOKDALE ROTONDA","ROTONDA WEST","Charlotte","60","0","0","$0.00","4","0","0","3","1","0","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE SANTA BARBARA","CAPE CORAL","Lee","40","1","1","$500.00","5","0","0","4","1","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE SARASOTA MIDTOWN","SARASOTA","Sarasota","120","6","0","$0.00","6","0","0","6","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE SOUTHPOINT","JACKSONVILLE","Duval","102","0","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE SOUTHSIDE","JACKSONVILLE","Duval","87","0","1","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE ST AUGUSTINE","SAINT AUGUSTINE","St. Johns","115","0","1","$50.00","2","0","0","2","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BROOKDALE STUART","STUART","Martin","55","2","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"BROOKDALE TARPON SPRINGS","TARPON SPRINGS","Pinellas","80","3","4","$1,000.00","7","0","0","4","0","3","1","Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"BROOKDALE TAVARES","TAVARES","Lake","60","3","1","$450.00","0","0","0","0","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE TEQUESTA","TEQUESTA","Palm Beach","55","2","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE TEQUESTA","TEQUESTA","Palm Beach","50","1","1","$10,000.00","4","0","2","2","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"BROOKDALE VERO BEACH SOUTH","VERO BEACH","Indian River","50","0","1","$0.00","2","0","0","0","1","1","1","Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga|Other","1","Memory Care"
"BROOKDALE VERO BEACH SOUTH","VERO BEACH","Indian River","40","1","0","$0.00","5","0","0","3","2","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Other","2","Memory Care|Pet Therapy"
"BROOKDALE WEKIWA SPRINGS","APOPKA","Orange","97","18","16","$39,000.00","45","1","3","39","0","2","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"BROOKDALE WEST BOYNTON BEACH","BOYNTON BEACH","Palm Beach","167","2","2","$500.00","9","0","0","8","0","1","2","Direct 24hr|Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","2","Memory Care|Pet Therapy"
"BROOKDALE WEST MELBOURNE","MELBOURNE","Brevard","55","3","4","$21,000.00","18","0","3","11","1","3","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE WEST MELBOURNE","MELBOURNE","Brevard","55","0","2","$3,000.00","30","0","0","21","5","4","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROOKDALE WEST MELBOURNE","WEST MELBOURNE","Brevard","42","4","9","$24,500.00","32","0","4","22","4","2","1","Direct Part-Time","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings","1","Memory Care"
"BROOKDALE WEST PALM BEACH","WEST PALM BEACH","Palm Beach","76","2","3","$500.00","11","0","0","11","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"BROOKDALE WINTER HAVEN","WINTER HAVEN","Polk","40","5","2","$1,000.00","7","0","0","6","0","1","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","2","Memory Care|Pet Therapy"
"BROOKDALE WINTER HAVEN AL","WINTER HAVEN","Polk","60","0","0","$0.00","5","0","0","5","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Other","1","Pet Therapy"
"BROOKS MANOR LLC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"BROOKSHIRE (THE)","MELBOURNE","Brevard","135","12","16","$38,139.19","43","0","1","37","2","3","4","Direct 24hr|Direct Part-Time|3rd Party 24hr|3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"BROWARD HOUSE, INC.","FORT LAUDERDALE","Broward","60","2","1","$500.00","5","0","0","1","1","3","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROWNS HOUSE ASSISTED LIVING FACILITY LLC","PORT SAINT LUCIE","St. Lucie","5","0","0","$0.00","0","0","0","0","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BROXTON'S A. L. F. HOME","CARYVILLE","Washington","22","1","1","$400.00","9","0","0","7","1","1","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"BRYAN FAMILY HOME, INC","MIAMI","Miami-Dade","6","0","3","$1,000.00","7","0","0","7","0","0","1","None","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"BRYAN'S CHATEAU (THE)","VALRICO","Hillsborough","5","0","0","$0.00","3","0","0","3","0","0","1","Direct 24hr","5","Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"BUCKINGHAM COURT ASSISTED LIVING LLC","ROCKLEDGE","Brevard","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"BUENA VISTA ASSISTED LIVING","MIAMI","Miami-Dade","6","0","2","$3,875.00","5","0","1","3","1","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"BUENA VISTA HEALTH CARE CORP","MIAMI GARDENS","Miami-Dade","6","0","2","$4,000.00","12","0","2","8","0","2","1","None","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","1","Other"
"BUENA VISTA HEALTH CARE II, CORP.","HIALEAH","Miami-Dade","6","0","1","$1,000.00","10","0","1","7","0","2","1","None","5","Arts and Crafts|Dancing|Games/Cards|Social Events/Outings|Theater and Movies","NR","NR"
"BUFFALO CROSSINGS ASSISTED LIVING FACILITY","THE VILLAGES","Sumter","135","1","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"BV ASSISTED LIVING INC","WEST MELBOURNE","Brevard","52","1","3","$12,500.00","21","0","2","15","3","1","1","Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","7","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"C & Z SUNSHINE HEALTHCARE LLC","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"C&V ASSISTED LIVING CORP","TAMPA","Hillsborough","6","0","1","$500.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CABOT COVE ASSISTED LIVING, LLC","LARGO","Pinellas","79","4","1","$800.00","13","0","0","13","0","0","1","None","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"CACHITA ADULT CONGREGATE LIVING FACILITY, INC.","MIAMI","Miami-Dade","8","0","2","$400.00","2","0","0","2","0","0","1","None","4","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs","NR","NR"
"CADIZ ALF LLC","MIAMI","Miami-Dade","6","1","3","$36,000.00","18","3","1","13","0","1","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"CALUSA ADULT CARE I","MIAMI","Miami-Dade","13","0","0","$0.00","6","0","0","6","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"CALUSA HARBOUR","FORT MYERS","Lee","175","0","2","$0.00","8","0","0","7","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"CALVINELLE ADULT HOME ALF #2","MIAMI","Miami-Dade","10","2","2","$5,000.00","10","0","3","7","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"CALVINELLE SOUTH ALF INC","MIAMI","Miami-Dade","10","2","2","$9,500.00","25","2","5","17","0","1","1","3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"CALVINELLE WEST ALF INC","MIAMI","Miami-Dade","14","1","4","$2,400.00","21","0","2","18","0","1","1","3rd Party Part-Time","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"CAMACHO ALF, INC","MIAMI","Miami-Dade","6","0","3","$4,050.00","18","0","1","15","0","2","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"CAMELLIA AT DEERWOOD","JACKSONVILLE","Duval","95","0","1","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"CAMELOT CHATEAU ASSISTED LIVING LLC","OCALA","Marion","90","0","0","$0.00","1","0","0","1","0","0","1","3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"CAMELOT COURT","HOLLYWOOD","Broward","10","0","1","$0.00","3","0","0","1","2","0","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Pet Therapy|Physical Therapy"
"CAMERON ALF II","TAMPA","Hillsborough","10","0","0","$0.00","0","0","0","0","0","0","1","3rd Party 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"CAMERON ALF III CORP","TAMPA","Hillsborough","8","0","0","$0.00","4","0","0","4","0","0","1","3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
